"","TEAM_NAME","TEAM_ID","GAME_ID","GAME_DATE","MATCHUP","game_number","version","OPP_NAME","matchup_start","round","matchup_full","TEAM_COLOR","OPP_COLOR","season"
"1","Boston Celtics","1610612738","0042400111","2025-04-20","BOS vs. ORL","Game 1","Thu Apr 24 17:37:27","Orlando Magic","2025-04-20",1,"Round 1: BOS vs. ORL, Game 1","#007A33","#0077C0","2024-25"
"2","Boston Celtics","1610612738","0042400112","2025-04-23","BOS vs. ORL","Game 2","Thu Apr 24 17:37:27","Orlando Magic","2025-04-20",1,"Round 1: BOS vs. ORL, Game 2","#007A33","#0077C0","2024-25"
"3","Cleveland Cavaliers","1610612739","0042400101","2025-04-20","CLE vs. MIA","Game 1","Thu Apr 24 17:37:27","Miami Heat","2025-04-20",1,"Round 1: CLE vs. MIA, Game 1","#860038","#98002E","2024-25"
"4","Cleveland Cavaliers","1610612739","0042400102","2025-04-23","CLE vs. MIA","Game 2","Thu Apr 24 17:37:27","Miami Heat","2025-04-20",1,"Round 1: CLE vs. MIA, Game 2","#860038","#98002E","2024-25"
"5","Denver Nuggets","1610612743","0042400171","2025-04-19","DEN vs. LAC","Game 1","Thu Apr 24 17:37:27","LA Clippers","2025-04-19",1,"Round 1: DEN vs. LAC, Game 1","#0E2240","#5D76A9","2024-25"
"6","Denver Nuggets","1610612743","0042400172","2025-04-21","DEN vs. LAC","Game 2","Thu Apr 24 17:37:27","LA Clippers","2025-04-19",1,"Round 1: DEN vs. LAC, Game 2","#0E2240","#5D76A9","2024-25"
"7","Detroit Pistons","1610612765","0042400121","2025-04-19","DET vs. NYK","Game 1","Thu Apr 24 17:37:27","New York Knicks","2025-04-19",1,"Round 1: DET vs. NYK, Game 1","#C8102E","#006BB6","2024-25"
"8","Detroit Pistons","1610612765","0042400122","2025-04-21","DET vs. NYK","Game 2","Thu Apr 24 17:37:27","New York Knicks","2025-04-19",1,"Round 1: DET vs. NYK, Game 2","#C8102E","#006BB6","2024-25"
"9","Golden State Warriors","1610612744","0042400151","2025-04-20","GSW vs. HOU","Game 1","Thu Apr 24 17:37:27","Houston Rockets","2025-04-20",1,"Round 1: GSW vs. HOU, Game 1","#1D428A","#CE1141","2024-25"
"10","Golden State Warriors","1610612744","0042400152","2025-04-23","GSW vs. HOU","Game 2","Thu Apr 24 17:37:27","Houston Rockets","2025-04-20",1,"Round 1: GSW vs. HOU, Game 2","#1D428A","#CE1141","2024-25"
"11","Houston Rockets","1610612745","0042400151","2025-04-20","HOU vs. GSW","Game 1","Thu Apr 24 17:37:27","Golden State Warriors","2025-04-20",1,"Round 1: HOU vs. GSW, Game 1","#CE1141","#1D428A","2024-25"
"12","Houston Rockets","1610612745","0042400152","2025-04-23","HOU vs. GSW","Game 2","Thu Apr 24 17:37:27","Golden State Warriors","2025-04-20",1,"Round 1: HOU vs. GSW, Game 2","#CE1141","#1D428A","2024-25"
"13","Indiana Pacers","1610612754","0042400131","2025-04-19","IND vs. MIL","Game 1","Thu Apr 24 17:37:27","Milwaukee Bucks","2025-04-19",1,"Round 1: IND vs. MIL, Game 1","#002D62","#00471B","2024-25"
"14","Indiana Pacers","1610612754","0042400132","2025-04-22","IND vs. MIL","Game 2","Thu Apr 24 17:37:27","Milwaukee Bucks","2025-04-19",1,"Round 1: IND vs. MIL, Game 2","#002D62","#00471B","2024-25"
"15","LA Clippers","1610612746","0042400171","2025-04-19","LAC vs. DEN","Game 1","Thu Apr 24 17:37:27","Denver Nuggets","2025-04-19",1,"Round 1: LAC vs. DEN, Game 1","#5D76A9","#0E2240","2024-25"
"16","LA Clippers","1610612746","0042400172","2025-04-21","LAC vs. DEN","Game 2","Thu Apr 24 17:37:27","Denver Nuggets","2025-04-19",1,"Round 1: LAC vs. DEN, Game 2","#5D76A9","#0E2240","2024-25"
"17","Los Angeles Lakers","1610612747","0042400161","2025-04-19","LAL vs. MIN","Game 1","Thu Apr 24 17:37:27","Minnesota Timberwolves","2025-04-19",1,"Round 1: LAL vs. MIN, Game 1","#552583","#236192","2024-25"
"18","Los Angeles Lakers","1610612747","0042400162","2025-04-22","LAL vs. MIN","Game 2","Thu Apr 24 17:37:27","Minnesota Timberwolves","2025-04-19",1,"Round 1: LAL vs. MIN, Game 2","#552583","#236192","2024-25"
"19","Memphis Grizzlies","1610612763","0042400141","2025-04-20","MEM vs. OKC","Game 1","Thu Apr 24 17:37:27","Oklahoma City Thunder","2025-04-20",1,"Round 1: MEM vs. OKC, Game 1","#5D76A9","#007AC1","2024-25"
"20","Memphis Grizzlies","1610612763","0042400142","2025-04-22","MEM vs. OKC","Game 2","Thu Apr 24 17:37:27","Oklahoma City Thunder","2025-04-20",1,"Round 1: MEM vs. OKC, Game 2","#5D76A9","#007AC1","2024-25"
"21","Miami Heat","1610612748","0042400101","2025-04-20","MIA vs. CLE","Game 1","Thu Apr 24 17:37:27","Cleveland Cavaliers","2025-04-20",1,"Round 1: MIA vs. CLE, Game 1","#98002E","#860038","2024-25"
"22","Miami Heat","1610612748","0042400102","2025-04-23","MIA vs. CLE","Game 2","Thu Apr 24 17:37:27","Cleveland Cavaliers","2025-04-20",1,"Round 1: MIA vs. CLE, Game 2","#98002E","#860038","2024-25"
"23","Milwaukee Bucks","1610612749","0042400131","2025-04-19","MIL vs. IND","Game 1","Thu Apr 24 17:37:27","Indiana Pacers","2025-04-19",1,"Round 1: MIL vs. IND, Game 1","#00471B","#002D62","2024-25"
