"","TEAM_NAME","TEAM_ID","GAME_ID","GAME_DATE","MATCHUP","game_number","version","OPP_NAME","matchup_start","round","matchup_full","TEAM_COLOR","OPP_COLOR"
"1","Boston Celtics","1610612738","0042300101","2024-04-21","BOS vs. MIA","Game 1","Tue May 28 11:15:31 AM","Miami Heat","2024-04-21",1,"Round 1: BOS vs. MIA, Game 1","#007A33","#98002E"
"2","Boston Celtics","1610612738","0042300102","2024-04-24","BOS vs. MIA","Game 2","Tue May 28 11:15:31 AM","Miami Heat","2024-04-21",1,"Round 1: BOS vs. MIA, Game 2","#007A33","#98002E"
"3","Boston Celtics","1610612738","0042300103","2024-04-27","BOS vs. MIA","Game 3","Tue May 28 11:15:31 AM","Miami Heat","2024-04-21",1,"Round 1: BOS vs. MIA, Game 3","#007A33","#98002E"
"4","Boston Celtics","1610612738","0042300104","2024-04-29","BOS vs. MIA","Game 4","Tue May 28 11:15:31 AM","Miami Heat","2024-04-21",1,"Round 1: BOS vs. MIA, Game 4","#007A33","#98002E"
"5","Boston Celtics","1610612738","0042300105","2024-05-01","BOS vs. MIA","Game 5","Tue May 28 11:15:31 AM","Miami Heat","2024-04-21",1,"Round 1: BOS vs. MIA, Game 5","#007A33","#98002E"
"6","Boston Celtics","1610612738","0042300201","2024-05-07","BOS vs. CLE","Game 1","Tue May 28 11:15:31 AM","Cleveland Cavaliers","2024-05-07",2,"Round 2: BOS vs. CLE, Game 1","#007A33","#860038"
"7","Boston Celtics","1610612738","0042300202","2024-05-09","BOS vs. CLE","Game 2","Tue May 28 11:15:31 AM","Cleveland Cavaliers","2024-05-07",2,"Round 2: BOS vs. CLE, Game 2","#007A33","#860038"
"8","Boston Celtics","1610612738","0042300203","2024-05-11","BOS vs. CLE","Game 3","Tue May 28 11:15:31 AM","Cleveland Cavaliers","2024-05-07",2,"Round 2: BOS vs. CLE, Game 3","#007A33","#860038"
"9","Boston Celtics","1610612738","0042300204","2024-05-13","BOS vs. CLE","Game 4","Tue May 28 11:15:31 AM","Cleveland Cavaliers","2024-05-07",2,"Round 2: BOS vs. CLE, Game 4","#007A33","#860038"
"10","Boston Celtics","1610612738","0042300205","2024-05-15","BOS vs. CLE","Game 5","Tue May 28 11:15:31 AM","Cleveland Cavaliers","2024-05-07",2,"Round 2: BOS vs. CLE, Game 5","#007A33","#860038"
"11","Boston Celtics","1610612738","0042300301","2024-05-21","BOS vs. IND","Game 1","Tue May 28 11:15:31 AM","Indiana Pacers","2024-05-21",3,"Round 3: BOS vs. IND, Game 1","#007A33","#002D62"
"12","Boston Celtics","1610612738","0042300302","2024-05-23","BOS vs. IND","Game 2","Tue May 28 11:15:31 AM","Indiana Pacers","2024-05-21",3,"Round 3: BOS vs. IND, Game 2","#007A33","#002D62"
